Gene,Spearman_r,P_value,FDR
TMEM102,0.8765,8e-06,0.173635
CALR,0.8735,1e-05,0.173635
LIMK1,0.8588,2e-05,0.19968025
SDF2L1,0.8559,2.3e-05,0.19968025
ZBTB8A,0.8324,6.3e-05,0.30559759999999997
DPP3,0.8271,7.7e-05,0.30559759999999997
UCK2,0.8265,7.9e-05,0.30559759999999997
ISOC2,0.8235,8.8e-05,0.30559759999999997
LDLR,0.8235,8.8e-05,0.30559759999999997
SLC25A22,0.8235,8.8e-05,0.30559759999999997
FOSB,0.8206,9.8e-05,0.309386
CREB3L2,0.8176,0.000109,0.3102278666666667
MESP1,0.8147,0.000121,0.3102278666666667
GZMM,0.8118,0.000134,0.3102278666666667
lnc-PSMG4-1,-0.8118,0.000134,0.3102278666666667
LOC102725343,0.8088,0.000148,0.32122475
VARS,0.8059,0.000164,0.33199012
INCENP,0.8029,0.000181,0.33199012
ZC3H7B,0.8,0.000199,0.33199012
AKAP5,0.7971,0.000218,0.33199012
